Country,Landmass,Geographic quadrant,Area,Population,Lang,Religion,Bars,Stripes,Colours,Red,Green,Blue,Gold,White,Black,Orange,Circles,Crosses,Saltires,Quarters,Sunstars,Crescent,Triangle,Icon,Animate,Test
Afghanistan,5,1,648,16,10,2,0,3,5,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
Albania,3,1,29,3,6,6,0,0,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
Algeria,4,1,2388,20,8,2,2,0,3,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
American-Samoa,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0
Andorra,3,1,0,0,6,0,3,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,4,2,1247,7,10,5,0,2,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Anguilla,1,4,0,0,1,1,0,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Antigua-Barbuda,1,4,0,0,1,1,0,1,5,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
Argentina,2,3,2777,28,2,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Argentine,2,3,2777,28,2,0,0,3,3,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Australia,6,2,7690,15,1,1,0,0,3,1,0,1,0,1,0,0,0,1,1,1,6,0,0,0,0,0
Austria,3,1,84,8,4,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,1,4,19,0,1,1,0,3,3,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Bahrain,5,1,1,0,8,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,5,1,143,90,6,2,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Barbados,1,4,0,0,1,1,3,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Belgium,3,1,31,10,6,0,3,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Belize,1,4,23,0,1,1,0,2,8,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
Benin,4,1,113,3,3,5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bermuda,1,4,0,0,1,1,0,0,6,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0
Bhutan,5,1,47,1,10,3,0,0,4,1,0,0,0,1,1,1,4,0,0,0,0,0,0,0,1,0
Bolivia,2,3,1099,6,2,0,0,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,4,2,600,1,10,5,0,5,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Brazil,2,3,8512,119,6,0,0,0,4,0,1,1,1,1,0,0,1,0,0,0,22,0,0,0,0,1
British-Virgin-Isles,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1
Brunei,5,1,6,0,10,2,0,0,4,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1
Bulgaria,3,1,111,9,5,6,0,3,5,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0
Burkina,4,4,274,7,3,5,0,2,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Burma,5,1,678,35,10,3,0,0,3,1,0,1,0,1,0,0,0,0,0,1,14,0,0,1,1,0
Burundi,4,2,28,4,10,5,0,0,3,1,1,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0
Cameroon,4,1,474,8,3,1,3,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Canada,1,4,9976,24,1,1,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Cape-Verde-Islands,4,4,4,0,6,0,1,2,5,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
Cayman-Islands,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,1,1,1,1,4,0,0,1,1,1
Central-African-Republic,4,1,623,2,10,5,1,0,5,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Chad,4,1,1284,4,3,5,3,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,2,3,757,11,2,0,0,2,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
China,5,1,9561,1008,7,6,0,0,2,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
Colombia,2,4,1139,28,2,0,0,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Comorro-Islands,4,2,2,0,3,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0
Congo,4,2,342,2,10,5,0,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
Cook-Islands,6,3,0,0,1,1,0,0,4,1,0,1,0,1,0,0,1,1,1,1,15,0,0,0,0,0
Costa-Rica,1,4,51,2,2,0,0,5,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,1,4,115,10,2,6,0,5,3,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Cyprus,3,1,9,1,6,1,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
Czechoslovakia,3,1,128,15,5,6,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Denmark,3,1,43,5,6,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Djibouti,4,1,22,0,3,2,0,0,4,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Dominica,1,4,0,0,1,1,0,0,6,1,1,1,1,1,1,0,1,0,0,0,10,0,0,0,1,0
Dominican-Republic,1,4,49,6,2,0,0,0,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Ecuador,2,3,284,8,2,0,0,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,4,1,1001,47,8,2,0,3,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
El-Salvador,1,4,21,5,2,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial-Guinea,4,1,28,0,10,5,0,3,4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Ethiopia,4,1,1222,31,10,1,0,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Faeroes,3,4,1,0,6,1,0,0,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Falklands-Malvinas,2,3,12,0,1,1,0,0,6,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1
Fiji,6,2,18,1,1,1,0,0,7,1,1,1,1,1,0,1,0,2,1,1,0,0,0,1,1,0
Finland,3,1,337,5,9,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
France,3,1,547,54,3,0,3,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
French-Guiana,2,4,91,0,3,0,3,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
French-Polynesia,6,3,4,0,3,0,0,3,5,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0
Gabon,4,2,268,1,10,5,0,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,4,4,10,1,1,5,0,5,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Germany-DDR,3,1,108,17,4,6,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Germany-FRG,3,1,249,61,4,1,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ghana,4,4,239,14,1,5,0,3,4,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Gibraltar,3,4,0,0,1,1,0,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Greece,3,1,132,10,6,1,0,9,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Greenland,1,4,2176,0,6,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Grenada,1,4,0,0,1,1,0,0,3,1,1,0,1,0,0,0,1,0,0,0,7,0,1,0,1,0
Guam,6,1,0,0,1,1,0,0,7,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1
Guatemala,1,4,109,8,2,0,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,4,4,246,6,3,2,3,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,4,4,36,1,6,5,1,2,4,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Guyana,2,4,215,1,1,4,0,0,5,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
Haiti,1,4,28,6,3,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Honduras,1,4,112,4,2,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0
Hong-Kong,5,1,1,5,7,3,0,0,6,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1
Hungary,3,1,93,11,9,6,0,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,3,4,103,0,6,1,0,0,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
India,5,1,3268,684,6,4,0,3,4,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0
Indonesia,6,2,1904,157,10,2,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Iran,5,1,1648,39,6,2,0,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Iraq,5,1,435,14,8,2,0,3,4,1,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0
Ireland,3,4,70,3,1,0,3,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Israel,5,1,21,4,10,7,0,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Italy,3,1,301,57,6,0,3,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ivory-Coast,4,4,323,7,3,5,3,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,1,4,11,2,1,1,0,0,3,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
Japan,5,1,372,118,9,7,0,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Jordan,5,1,98,2,8,2,0,3,4,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
Kampuchea,5,1,181,6,10,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Kenya,4,1,583,17,10,5,0,5,4,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
Kiribati,6,1,0,0,1,1,0,0,4,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0
Kuwait,5,1,18,2,8,2,0,3,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Laos,5,1,236,3,10,6,0,3,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Lebanon,5,1,10,3,8,2,0,2,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Lesotho,4,2,30,1,10,5,2,0,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Liberia,4,4,111,1,10,5,0,11,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Libya,4,1,1760,3,8,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,3,1,0,0,4,0,0,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Luxembourg,3,1,3,0,4,0,0,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Malagasy,4,2,587,9,10,1,1,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,4,2,118,6,10,5,0,3,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Malaysia,5,1,333,13,10,2,0,14,4,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
Maldive-Islands,5,1,0,0,10,2,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Mali,4,4,1240,7,3,2,3,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,3,1,0,0,10,0,2,0,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
Marianas,6,1,0,0,10,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Mauritania,4,4,1031,2,8,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Mauritius,4,2,2,1,1,4,0,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,1,4,1973,77,2,0,3,0,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Micronesia,6,1,1,0,10,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0
Monaco,3,1,0,0,3,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,5,1,1566,2,10,6,3,0,3,1,0,1,1,0,0,0,2,0,0,0,1,1,1,1,0,0
Montserrat,1,4,0,0,1,1,0,0,7,1,1,1,1,1,1,0,0,2,1,1,0,0,0,1,1,0
Morocco,4,4,447,20,8,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mozambique,4,2,783,12,10,5,0,5,5,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0
Nauru,6,2,0,0,10,1,0,3,3,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Nepal,5,1,140,16,10,4,0,0,3,0,0,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0
Netherlands,3,1,41,14,6,1,0,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands-Antilles,1,4,0,0,6,1,0,1,3,1,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0
New-Zealand,6,2,268,2,1,1,0,0,3,1,0,1,0,1,0,0,0,1,1,1,4,0,0,0,0,0
Nicaragua,1,4,128,3,2,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Niger,4,1,1267,5,3,2,0,3,3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Nigeria,4,1,925,56,10,2,3,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Niue,6,3,0,0,1,1,0,0,4,1,0,1,1,1,0,0,1,1,1,1,5,0,0,0,0,0
North-Korea,5,1,121,18,10,6,0,5,3,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
North-Yemen,5,1,195,9,8,2,0,3,4,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Norway,3,1,324,4,6,1,0,0,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Oman,5,1,212,1,8,2,0,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Pakistan,5,1,804,84,6,2,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Panama,2,4,76,2,2,0,0,0,3,1,0,1,0,1,0,0,0,0,0,4,2,0,0,0,0,0
Papua-New-Guinea,6,2,463,3,1,5,0,0,4,1,0,0,1,1,1,0,0,0,0,0,5,0,1,0,1,0
Parguay,2,3,407,3,2,0,0,3,6,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1
Peru,2,3,1285,14,2,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,6,1,300,48,10,0,0,0,4,1,0,1,1,1,0,0,0,0,0,0,4,0,1,0,0,0
Poland,3,1,313,36,5,6,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,3,4,92,10,6,0,0,0,5,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
Puerto-Rico,1,4,9,3,2,0,0,5,3,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Qatar,5,1,11,0,8,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Romania,3,1,237,22,6,6,3,0,7,1,1,1,1,1,0,1,0,0,0,0,2,0,0,1,1,1
Rwanda,4,2,26,5,10,5,3,0,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
San-Marino,3,1,0,0,6,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sao-Tome,4,1,0,0,6,0,0,3,4,1,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0
Saudi-Arabia,5,1,2150,9,8,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Senegal,4,4,196,6,3,2,3,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Seychelles,4,2,0,0,1,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sierra-Leone,4,4,72,3,1,5,0,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,5,1,1,3,7,3,0,2,2,1,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0
Soloman-Islands,6,2,30,0,1,1,0,0,4,0,1,1,1,1,0,0,0,0,0,0,5,0,1,0,0,0
Somalia,4,1,637,5,10,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
South-Africa,4,2,1221,29,6,1,0,3,5,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
South-Korea,5,1,99,39,10,7,0,0,4,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
South-Yemen,5,1,288,2,8,2,0,3,4,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
Spain,3,4,505,38,2,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri-Lanka,5,1,66,15,10,3,2,0,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
St-Helena,4,3,0,0,1,1,0,0,7,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0
St-Kitts-Nevis,1,4,0,0,1,1,0,0,5,1,1,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0
St-Lucia,1,4,0,0,1,1,0,0,4,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
St-Vincent,1,4,0,0,1,1,5,0,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
Sudan,4,1,2506,20,8,2,0,3,4,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Surinam,2,4,63,0,6,1,0,5,4,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Swaziland,4,2,17,1,10,1,0,5,7,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
Sweden,3,1,450,8,6,1,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Switzerland,3,1,41,6,4,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Syria,5,1,185,10,8,2,0,3,4,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0
Taiwan,5,1,36,18,7,3,0,0,3,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
Tanzania,4,2,945,18,10,5,0,0,4,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Thailand,5,1,514,49,10,3,0,5,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Togo,4,1,57,2,3,7,0,5,4,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
Tonga,6,2,1,0,10,1,0,0,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Trinidad-Tobago,2,4,5,1,1,1,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Tunisia,4,1,164,7,8,2,0,0,2,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
Turkey,5,1,781,45,9,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Turks-Cocos-Islands,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0
Tuvalu,6,2,0,0,1,1,0,0,5,1,0,1,1,1,0,0,0,1,1,1,9,0,0,0,0,0
UAE,5,1,84,1,8,2,1,3,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Uganda,4,1,236,13,10,5,0,6,5,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
UK,3,4,245,56,1,1,0,0,3,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Uruguay,2,3,178,3,2,0,0,9,3,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
US-Virgin-Isles,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
USA,1,4,9363,231,1,1,0,13,3,1,0,1,0,1,0,0,0,0,0,1,50,0,0,0,0,0
USSR,5,1,22402,274,5,6,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Vanuatu,6,2,15,0,6,1,0,0,4,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
Vatican-City,3,1,0,0,6,0,2,0,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Venezuela,2,4,912,15,2,0,0,3,7,1,1,1,1,1,1,1,0,0,0,0,7,0,0,1,1,0
Vietnam,5,1,333,60,10,6,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Western-Samoa,6,3,3,0,1,1,0,0,3,1,0,1,0,1,0,0,0,0,0,1,5,0,0,0,0,0
Yugoslavia,3,1,256,22,6,6,0,3,4,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Zaire,4,2,905,28,10,5,0,0,4,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0
Zambia,4,2,753,6,10,5,3,0,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Zimbabwe,4,2,391,8,10,5,0,7,5,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0